Wall time,Step,Value
1766904337.854401,5,17.48310089111328
1766904378.5253189,18,17.40528106689453
1766904396.838954,24,17.075868606567383
1766904443.121566,40,17.540184020996094
1766904448.6893902,42,17.644386291503906
1766904457.1874602,45,17.788450241088867
1766904462.8140821,47,17.869205474853516
1766904479.605877,53,18.150741577148438
1766904487.872983,56,18.305503845214844
1766904530.094949,71,18.858110427856445
1766904538.371167,74,18.975971221923828
1766904552.138881,79,19.078292846679688
1766904574.091157,87,19.263830184936523
1766904593.14497,94,19.420799255371094
1766904615.36313,102,19.64305877685547
1766904623.5674949,105,19.697124481201172
1766904626.294944,106,19.720521926879883
1766904645.534173,113,19.91060447692871
1766904680.8478022,126,20.178205490112305
1766904716.3030798,139,20.381444931030273
1766904746.41628,150,20.509323120117188
1766904760.117627,155,20.611671447753906
1766904768.4805892,158,20.65998077392578
1766904793.7770538,167,20.75920867919922
1766904796.6043258,168,20.753246307373047
1766904824.364398,178,20.837209701538086
1766904838.2332292,183,20.922067642211914
1766904843.7493289,185,20.926313400268555
1766904846.460632,186,20.94493293762207
1766904857.491744,190,21.00336456298828
1766904879.642496,198,21.14057731628418
1766904902.1718762,206,21.257801055908203
1766904904.91596,207,21.269906997680664
1766904918.742003,212,21.357431411743164
1766904950.846934,223,21.509572982788086
1766904968.414023,229,21.5704288482666
1766904982.908833,234,21.63680648803711
1766904991.169119,237,21.703170776367188
1766905026.9293282,249,21.828773498535156
1766905044.1026502,255,21.898578643798828
1766905057.760433,260,21.886981964111328
1766905076.807955,267,21.93170166015625
1766905087.732532,271,21.956703186035156
1766905093.323887,273,21.95831298828125
1766905144.622068,292,22.067155838012695
1766905158.177545,297,22.094722747802734
1766905160.937527,298,22.105670928955078
1766905174.424783,303,22.114578247070312
1766905188.044645,308,22.18041229248047
1766905193.462251,310,22.187721252441406
1766905215.467217,318,22.24279022216797
1766905218.27054,319,22.246522903442383
1766905237.8028731,326,22.260112762451172
1766905249.157839,330,22.303529739379883
1766905274.976578,339,22.3353214263916
1766905297.6809669,347,22.352466583251953
1766905342.3470201,363,22.438814163208008
1766905353.390545,367,22.451828002929688
1766905370.0212522,373,22.455610275268555
1766905381.129167,377,22.452014923095703
1766905386.6951811,379,22.452011108398438
1766905501.470436,421,22.60880470275879
1766905504.211998,422,22.608501434326172
1766905509.727486,424,22.614429473876953
1766905526.367965,430,22.64392852783203
1766905551.0609071,439,22.70998764038086
1766905556.75888,441,22.710227966308594
1766905559.621314,442,22.71331024169922
1766905567.961729,445,22.73571014404297
1766905584.562967,451,22.75936508178711
1766905609.467983,460,22.76897621154785
1766905617.625854,463,22.73508644104004
1766905620.337826,464,22.746322631835938
1766905650.324447,474,22.723060607910156
1766905697.9965172,491,22.728139877319336
1766905703.506874,493,22.75682258605957
1766905742.024999,507,22.81263542175293
1766905755.793738,512,22.839401245117188
1766905761.332206,514,22.865455627441406
1766905769.504849,517,22.864656448364258
1766905791.448159,525,22.891708374023438
1766905808.000947,531,22.89788246154785
1766905813.393644,533,22.902589797973633
1766905821.593471,536,22.917617797851562
1766905838.865401,542,22.91901206970215
1766905852.703111,547,22.928062438964844
1766905880.570132,557,22.97121238708496
1766905897.233948,563,23.01133155822754
1766905913.812887,569,23.0213680267334
1766905924.722923,573,23.033716201782227
1766905941.178901,579,23.056446075439453
1766905946.6361642,581,23.05281639099121
1766905949.4027379,582,23.044172286987305
1766905954.80515,584,23.025489807128906
1766905960.304127,586,23.027658462524414
1766905963.094122,587,23.02544593811035
1766905976.75804,592,23.036439895629883
1766905979.443813,593,23.0414981842041
1766906004.709022,602,23.095367431640625
1766906021.387784,608,23.10378646850586
1766906026.89562,610,23.106403350830078
1766906040.748611,615,23.120790481567383
1766906054.426832,620,23.165672302246094
1766906059.849167,622,23.141130447387695
1766906093.1232882,634,23.085458755493164
1766906112.397483,641,23.0686092376709
1766906115.087073,642,23.06715202331543
1766906120.595289,644,23.060775756835938
1766906126.020145,646,23.076377868652344
1766906128.763068,647,23.0787353515625
1766906134.238664,649,23.069211959838867
1766906167.910315,661,23.096759796142578
1766906175.987228,664,23.09952735900879
1766906187.365539,668,23.08894920349121
1766906195.768898,671,23.100461959838867
1766906204.122834,674,23.09990119934082
1766906215.228323,678,23.11211585998535
1766906217.997362,679,23.11004066467285
1766906228.934804,683,23.11834716796875
1766906242.770551,688,23.14974594116211
1766906273.0511181,699,23.162036895751953
1766906284.098927,703,23.1422119140625
1766906292.219578,706,23.140789031982422
1766906314.051789,714,23.148908615112305
1766906325.033921,718,23.15060043334961
1766906333.401576,721,23.168790817260742
1766906336.233593,722,23.174612045288086
1766906339.0610461,723,23.175365447998047
1766906358.94803,730,23.180099487304688
1766906376.546546,736,23.165464401245117
1766906382.4944499,738,23.14558982849121
1766906385.490465,739,23.13901710510254
1766906397.4338229,743,23.152545928955078
1766906409.4343581,747,23.15438461303711
1766906421.331084,751,23.171581268310547
1766906424.307244,752,23.17425537109375
1766906436.387197,756,23.164779663085938
1766906463.428159,765,23.137571334838867
1766906474.859754,769,23.149423599243164
1766906477.6873322,770,23.15999984741211
1766906480.463304,771,23.177122116088867
1766906486.025423,773,23.185049057006836
1766906488.810879,774,23.1795654296875
1766906505.274312,780,23.167842864990234
1766906516.483306,784,23.18787384033203
1766906519.3767822,785,23.191593170166016
1766906525.027752,787,23.190452575683594
1766906530.5024939,789,23.193933486938477
1766906538.6486201,792,23.18562126159668
1766906541.3771362,793,23.188121795654297
1766906544.1143959,794,23.17949867248535
1766906546.8775392,795,23.18475341796875
1766906555.111109,798,23.20384407043457
1766906566.235169,802,23.215354919433594
1766906580.014709,807,23.20627212524414
1766906582.883608,808,23.201417922973633
1766906585.6046772,809,23.20844268798828
1766906602.836433,815,23.21354103088379
1766906652.115503,832,23.154565811157227
1766906663.115029,836,23.167295455932617
1766906668.91353,838,23.176616668701172
1766906682.975511,843,23.186906814575195
1766906795.580357,867,23.288253784179688
1766906801.520328,869,23.281953811645508
1766906816.672079,874,23.287090301513672
1766906822.78118,876,23.302658081054688
1766906834.730932,880,23.31705093383789
1766906840.5575922,882,23.312410354614258
1766906864.357218,890,23.30000877380371
1766906882.8653991,896,23.260190963745117
1766906894.879034,900,23.263500213623047
1766906915.92308,907,23.27667236328125
1766906921.7482932,909,23.278467178344727
1766906957.535058,915,23.2764949798584
1766906963.4672189,917,23.25657844543457
1766906972.453002,920,23.24570655822754
1766906981.289601,923,23.229785919189453
1766907005.116123,931,23.269702911376953
1766907008.1747,932,23.270809173583984
1766907017.774403,935,23.27701187133789
1766907039.003407,942,23.288206100463867
1766907048.2967958,945,23.285295486450195
1766907075.499306,954,23.292518615722656
1766907087.179469,958,23.287952423095703
1766907095.8975182,961,23.283931732177734
1766907098.736314,962,23.284915924072266
1766907124.9756281,971,23.28748893737793
1766907127.915006,972,23.289182662963867
1766907139.804814,976,23.282556533813477
1766907145.8825011,978,23.285327911376953
