Wall time,Step,Value
1766904337.854893,5,-4.111599922180176
1766904378.525813,18,-0.03241032734513283
1766904396.839492,24,0.12495502829551697
1766904443.122057,40,0.9268549680709839
1766904448.6898692,42,0.9585602879524231
1766904457.187896,45,1.1811572313308716
1766904462.814553,47,0.7179749011993408
1766904479.606467,53,1.1478766202926636
1766904487.873447,56,1.3841584920883179
1766904530.0953999,71,1.1945395469665527
1766904538.3716748,74,1.400789737701416
1766904552.139355,79,1.4679794311523438
1766904574.09163,87,1.124984860420227
1766904593.1455019,94,1.1192690134048462
1766904615.363622,102,1.2393954992294312
1766904623.567958,105,1.1414604187011719
1766904626.295392,106,1.2395247220993042
1766904645.5347,113,1.2264682054519653
1766904680.848346,126,1.0425748825073242
1766904716.3036191,139,1.1845672130584717
1766904746.416717,150,1.2166544198989868
1766904760.118098,155,1.9767969846725464
1766904768.481139,158,1.089647650718689
1766904793.777631,167,1.6293970346450806
1766904796.6048262,168,1.7550897598266602
1766904824.364908,178,1.4359897375106812
1766904838.2336562,183,1.9594980478286743
1766904843.749762,185,1.255352258682251
1766904846.46119,186,1.6444004774093628
1766904857.492335,190,1.668148159980774
1766904879.6430268,198,2.1611015796661377
1766904902.1723268,206,2.399109125137329
1766904904.9168901,207,1.7827227115631104
1766904918.74259,212,2.0517847537994385
1766904950.847408,223,1.8972915410995483
1766904968.414521,229,1.7692596912384033
1766904982.909442,234,1.5496577024459839
1766904991.169611,237,2.01474666595459
1766905026.929791,249,1.8657785654067993
1766905044.103091,255,2.0220251083374023
1766905057.760928,260,2.0516703128814697
1766905076.808445,267,1.8842519521713257
1766905087.7330408,271,1.5833823680877686
1766905093.324331,273,2.158862590789795
1766905144.622666,292,2.0515098571777344
1766905158.1783822,297,2.4437341690063477
1766905160.938001,298,2.2641022205352783
1766905174.4252632,303,2.4045400619506836
1766905188.045056,308,2.3825769424438477
1766905193.4627452,310,2.1212785243988037
1766905215.4677079,318,2.4492597579956055
1766905218.271362,319,2.013162851333618
1766905237.803295,326,2.6358330249786377
1766905249.158328,330,2.4214601516723633
1766905274.9771252,339,2.81716251373291
1766905297.6826081,347,3.28771710395813
1766905342.347544,363,2.4599297046661377
1766905353.3960571,367,2.1422982215881348
1766905370.0218098,373,2.2038614749908447
1766905381.129649,377,2.674915075302124
1766905386.695683,379,2.687623977661133
1766905501.470916,421,2.7216713428497314
1766905504.212516,422,3.0205867290496826
1766905509.7279732,424,3.0619301795959473
1766905526.368489,430,2.831540107727051
1766905551.061569,439,2.6088831424713135
1766905556.7593842,441,2.3691036701202393
1766905559.621825,442,3.0817480087280273
1766905567.962139,445,2.967904806137085
1766905584.563447,451,3.1851770877838135
1766905609.468572,460,3.2734787464141846
1766905617.62653,463,2.7687926292419434
1766905620.338288,464,2.8023109436035156
1766905650.324917,474,2.307732582092285
1766905697.997015,491,2.64190411567688
1766905703.507396,493,3.1719515323638916
1766905742.0254521,507,2.9963490962982178
1766905755.7943082,512,2.6777312755584717
1766905761.332723,514,2.5889599323272705
1766905769.505308,517,3.6275973320007324
1766905791.448695,525,3.1184396743774414
1766905808.001525,531,2.6327271461486816
1766905813.3941429,533,3.135486125946045
1766905821.593974,536,2.4350805282592773
1766905838.8659682,542,3.183922290802002
1766905852.703583,547,3.297107458114624
1766905880.5706089,557,2.742725133895874
1766905897.2344441,563,2.833904266357422
1766905913.813389,569,2.890580892562866
1766905924.723413,573,2.8102238178253174
1766905941.17949,579,2.512995481491089
1766905946.636632,581,3.005204916000366
1766905949.403254,582,2.993455410003662
1766905954.805652,584,2.563589334487915
1766905960.30463,586,2.7993688583374023
1766905963.094571,587,3.3024845123291016
1766905976.758476,592,3.0328407287597656
1766905979.444285,593,2.7428224086761475
1766906004.709515,602,3.2138402462005615
1766906021.388383,608,2.9419074058532715
1766906026.896071,610,2.882920503616333
1766906040.749133,615,2.691960334777832
1766906054.43218,620,3.011532783508301
1766906059.849741,622,3.7637953758239746
1766906093.123776,634,3.09484601020813
1766906112.397986,641,2.9909892082214355
1766906115.087567,642,3.0613858699798584
